city,acres,sale_price,ppa
Fresno,40,21,0.525
Fresno,20,66,3.3
Fresno,35.33,100,2.8304557033682425
Fresno,20,7.5,0.375
Fresno,103.62,59,0.5693881490059833
Fresno,77.12,49,0.6353734439834025
Fresno,25.8,21,0.813953488372093
Fresno,75.74,45,0.5941378399788751
Fresno,58.49,639.8353,10.939225508633955
Fresno,39.1,29.5,0.7544757033248082
Fresno,20.27,55,2.7133695115934877
Fresno,20.28,68.5,3.3777120315581852
Fresno,44.67,223.35,5
Fresno,49.08,254.8,5.191524042379789
Fresno,25,47.45,1.898
Fresno,46.77,140.35,3.000855249091298
Fresno,57.75,33,0.5714285714285715
Fresno,32.98,74.8,2.268041237113402
Fresno,20,9,0.45
Fresno,40,117.5,2.9375
Fresno,20,40,2
Fresno,38.19,145.8,3.817753338570306
Fresno,20,5.2,0.26
Fresno,20,60,3
Fresno,28.49,77.5,2.72025272025272
Fresno,39.66,26,0.6555723651033788
Fresno,45,120,2.666666666666667
Fresno,20,9,0.45
Fresno,20.07,62.5,3.1141006477329345
Fresno,82.44,224.45,2.722586123241145
Fresno,39.6,25,0.6313131313131313
Merced,30.4,51.35,1.6891447368421053
Merced,36.8,9,0.24456521739130435
Merced,26.5,175,6.603773584905659
Merced,77.68,93.6,1.2049433573635426
Merced,36.7,78.9,2.1498637602179835
Merced,79.7,43.8,0.5495608531994981
Merced,23.63,53.3,2.2556072788827763
Merced,62.68,36.5,0.5823229100191449
Merced,29.6,71.05,2.4003378378378377
Merced,57,28,0.49122807017543857
Merced,35.9,35.9,1
Merced,35,49,1.4
Merced,98,150,1.530612244897959
Merced,37,75,2.027027027027027
Merced,77,51.6,0.6701298701298701
Merced,36,80,2.2222222222222223
Merced,27,32.5,1.2037037037037037
Merced,49.1,58.95,1.20061099796334
Merced,39,17.55,0.45
Merced,20,87.15,4.3575
Merced,66.1,49.5,0.7488653555219366
Merced,32,28.2,0.88125
Merced,28,52,1.8571428571428572
Merced,23,165.6,7.2
Merced,20,5.5,0.275
Merced,103.6,62.2,0.6003861003861004
Merced,50,20,0.4
Merced,37,31.85,0.8608108108108108
Merced,45.73,72.5,1.585392521320796
Merced,60,50,0.8333333333333334
Merced,80,25.6,0.32
Merced,101.6,180,1.7716535433070868
Merced,72.7,21,0.2888583218707015
Merced,48.6,40,0.8230452674897119
Merced,25.3,54.5,2.1541501976284585
Merced,28.2,55.5,1.968085106382979
Merced,32.4,150,4.62962962962963
Merced,39.7,690,17.38035264483627
